Seat	GPA	alcohol
2_Middle	2.60	15
2_Middle	2.70	14
1_Front	3.00	
1_Front	3.11	10
3_Back	3.40	30
2_Middle	3.43	20
1_Front	3.70	15
3_Back	3.70	15
2_Middle	3.77	0
1_Front	3.50	0
1_Front	3.00	
2_Middle	3.00	0
1_Front	3.50	0
2_Middle	3.25	0
2_Middle	2.83	0
1_Front	2.62	0
2_Middle	3.15	
2_Middle		1
1_Front	3.70	0
2_Middle		2
2_Middle	3.65	
2_Middle	3.60	0
2_Middle	3.00	1
2_Middle	2.25	
2_Middle		
2_Middle	2.54	2
2_Middle	2.60	0
2_Middle		1
3_Back	3.00	10
2_Middle	2.93	
3_Back	3.20	12
3_Back		3
2_Middle	3.00	
1_Front	3.40	1
2_Middle	2.50	0
2_Middle	3.00	0
2_Middle	3.51	8
2_Middle	2.37	0
2_Middle		0
2_Middle	3.50	0
3_Back	3.00	0
2_Middle	2.90	0
2_Middle	3.90	0
2_Middle	2.65	1
2_Middle	3.50	3
2_Middle	3.30	3
2_Middle	3.40	5
2_Middle	3.60	0
2_Middle	3.21	0
3_Back	3.10	0
2_Middle	3.85	1
2_Middle	3.20	2
3_Back	2.50	3
2_Middle	2.50	12
2_Middle		12
2_Middle	2.90	2
2_Middle		0
1_Front	2.80	0
2_Middle	2.60	0
3_Back	3.05	8
1_Front	3.70	3
1_Front	4.00	9
3_Back	3.50	9
1_Front	3.22	0
3_Back	2.90	2
3_Back	3.25	
1_Front	3.26	0
1_Front	3.00	0
2_Middle		
2_Middle	2.01	0
1_Front	3.71	0
2_Middle	3.87	5
1_Front	3.26	0
2_Middle	2.50	10
2_Middle	2.90	3
2_Middle	3.60	0
2_Middle	3.90	0
	2.00	
2_Middle	3.20	2
2_Middle	3.30	4
2_Middle	2.80	0
2_Middle	3.80	
2_Middle	3.00	
2_Middle	2.23	0
1_Front	3.88	0
2_Middle	3.01	0
2_Middle	2.50	0
2_Middle	3.00	3
2_Middle	2.79	0
2_Middle	3.80	0
1_Front	3.25	3
2_Middle	2.80	0
1_Front	3.39	0
2_Middle	2.64	0
2_Middle	3.65	0
1_Front	3.40	0
1_Front	3.33	0
1_Front	3.90	4
2_Middle	2.54	1
2_Middle	2.80	0
2_Middle	3.50	0
2_Middle	3.10	
2_Middle	2.66	3
2_Middle	1.91	4
2_Middle	2.80	22
2_Middle	2.80	2
2_Middle	2.70	
1_Front	3.80	0
1_Front	3.24	
3_Back	2.58	10
2_Middle	3.17	10
2_Middle	2.60	
2_Middle	2.58	1
1_Front	2.00	0
1_Front	3.44	0
2_Middle	2.50	0
3_Back	2.90	20
2_Middle	2.70	12
2_Middle	3.50	
2_Middle	3.00	0
1_Front	2.44	0
2_Middle	2.00	0
2_Middle	3.34	12
2_Middle	3.83	
1_Front	1.92	5
2_Middle	2.70	
2_Middle	3.90	0
2_Middle	2.33	0
2_Middle		0
1_Front	1.96	1
2_Middle	3.00	3
1_Front	3.00	1
3_Back	3.40	0
1_Front	2.05	0
2_Middle	3.10	18
2_Middle	3.00	
2_Middle	3.00	
2_Middle		0
2_Middle	3.25	3
3_Back	3.92	0
1_Front	4.00	0
3_Back	3.00	20
2_Middle	3.26	25
	2.80	0
3_Back	2.84	2
3_Back	2.80	10
3_Back	2.87	14
2_Middle	2.10	15
