"","name","pronounced","how.it.moved","length","teeth","weight","food","diet","height","found.in","when.it.lived","meaning.of.name"
"1","Euoplocephalus","you-OH-plo-kef-ah-luss","on 4 legs",7,"horny beak and chewing teeth",2000,"plant material","herbivorous",1.8,"Canada, USA","Late Cretaceous (76-70million years ago)","well-armoured head"
"2","Maiasaura","my-ah-SORE-ah","on 2 or 4 legs",9,"horny beak and chewing teeth",2500,"plant material","herbivorous",2.3,"USA","Late Cretaceous (80-75million years ago)","good mother lizard"
"3","Psittacosaurus","SIT-ak-oh-sore-us","on 2 or 4 legs",2,"beak",50,"plant material","herbivorous",1,"Peoples Republic of China, Mongolia, Russia","Early Cretaceous (120-100million years ago)","parrot lizard"
"4","Massospondylus","mass-oh-SPON-di-luss","on 2 or 4 legs",4,"rounded front teeth, flat back teeth",70,"tough plant material","omnivorous",1.5,"Lesotho, South Africa, Zimbabwe","Early Jurassic (208-204million years ago)","massive vertebrae"
"5","Pachycephalosaurus","pack-i-KEF-al-oh-sore-russ","on 2 legs",8,"flat-curved and serrated teeth",3000,"plant material","herbivorous",6,"Canada, USA","Late Cretaceous (76-65million years ago)","thick-headed lizard"
"6","Chasmosaurus","KAZ-mo-sore-us","on 4 legs",5,"horny beak",2500,"plant material","herbivorous",3.6,"Canada","Late Cretaceous (76-74million years ago)","chasm lizard"
"7","Pinacosaurus","pin-ak-oh-sore-us","",5,"",1000,"plants","herbivorous",3,"Peoples Republic of China, Mongolia","Late Cretaceous (81-75million years ago)","plank lizard"
"8","Archaeopteryx","ark-ee-OPT-er-ix","on 2 legs and by flying",0.5,"many small conical (cone-like) teeth in the upper jaw",0.4,"may have eaten small reptiles, mammals or insects","carnivorous",0.2,"Germany","Late Jurassic (147million years ago)","ancient wing"
"9","Dilophosaurus","die-LOAF-oh-sore-us","on 2 legs",6,"lots of sharp and curved teeth",300,"other animals","carnivorous",2,"USA","Early Jurassic (190million years ago)","two-ridged lizard"
"10","Argentinosaurus","AR-gent-eeno-sore-us","on 4 legs",35,"teeth for grinding and chewing",70000,"tough plant material","herbivorous",6,"Argentina","Late Cretaceous (90million years ago)","Argentina lizard"
"11","Centrosaurus","Cen-TROH-sore-us","on 4 legs",6,"horny beak",1000,"tough plant material","herbivorous",2,"Canada","Late Cretaceous (76-74million years ago)","sharp pointed lizard"
"12","Triceratops","tri-SERRA-tops","on 4 legs",9,"horny beak and shearing teeth",5500,"tough palm fronds","herbivorous",3,"USA","Late Cretaceous (67-65million years ago)","three-horned face"
"13","Diplodocus","DI-plod-oh-kuss","on 4 legs",26,"rows of teeth like a comb",20000,"leaves from trees and soft plants","herbivorous",8,"USA","Late Jurassic (155-145million years ago)","double beam"
"14","Camptosaurus","KAMP-toe-sore-us","on 2 or 4 legs",5,"beak and grinding teeth",1000,"plants","herbivorous",3.6,"England, United Kingdom, USA","Late Jurassic (155-145million years ago)","bent lizard"
"15","Microraptor","MIKE-row-rap-tor","on 2 legs",0.8,"small, sharp, pointed",1,"other animals, insects","unknown",0.3,"Peoples Republic of China","Early Cretaceous (125-122million years ago)","tiny plunderer"
"16","Protoceratops","pro-toe-ker-ah-tops","on 4 legs",1.8,"shearing and grinding teeth with a horny beak at the front",400,"plant material","herbivorous",1,"Peoples Republic of China, Mongolia","Late Cretaceous (85-80million years ago)","first horned face"
"17","Compsognathus","Komp-sog-NATH-us","on 2 legs",0.65,"sharp",3.6,"vertebrates","carnivorous",0.7,"Germany, France","Late Jurassic (145-140million years ago)","pretty jaw"
"18","Dromaeosaurus","DROM-ee-oh-saw-russ","on 2 legs",1.8,"small, razor-sharp, backward-curving teeth",15,"vertebrates","carnivorous",0.8,"Canada, USA","Late Cretaceous (76-74million years ago)","running lizard"
"19","Utahraptor","YOO-tah-RAP-tor","on 2 legs",6,"lots of sharp, pointed teeth",1000,"other animals","carnivorous",2,"USA","Early Cretaceous (112-100million years ago)","Utah plunderer"
"20","Tyrannosaurus","tie-RAN-oh-sore-us","on 2 legs",12,"60 saw-edged, bone-crushing, pointed teeth",7000,"other animals","carnivorous",5.6,"Canada, USA","Late Cretaceous (67-65million years ago)","tyrant lizard"
"21","Parasaurolophus","pa-ra-saw-ROL-off-us","on 2 or 4 legs",11,"beak and toothed jaws",3500,"pine needles, tree leaves","herbivorous",5.2,"Canada, USA","Late Cretaceous (76-74million years ago)","like 'Saurolophus'"
